ID,v2
5,In that case I guess I'll see you at campus lodge
10,85233 FREE>Ringtone!Reply REAL
13,I wish u were here. I feel so alone
15,LMAO where's your fish memory when I need it?
16,Oh is it! Which brand?
30,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\"""""
31,Still i have not checked it da. . .
32,Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
34,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that \ &lt;#&gt;  lac crore\"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.\"""""
35,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
37,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
39,Really good:)dhanush rocks once again:)
40,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate."
43,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
45,But that's on ebay it might be less elsewhere.
46,I came hostel. I m going to sleep. Plz call me up before class. Hrishi.
50,True. Its easier with her here.
66,I.ll get there tomorrow and send it to you
67,I need to come home and give you some good lovin...
73,"Haha just kidding, papa needs drugs"
88,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Callså£1/minmoremobsEMSPOBox45PO139WA
96,I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.
99,"Yeah sure, give me a couple minutes to track down my wallet"
105,Good morning princess! Happy New Year!
114,Our Prashanthettan's mother passed away last night. pray for her and family.
118,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
125,I can do that! I want to please you both inside and outside the bedroom...
126,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
131,Will you be here for food
135,I don know account details..i will ask my mom and send you.my mom is out of reach now.
