ID,v1,v2
1,ham,Aight should I just plan to come up later tonight?
2,ham,Was the farm open?
3,ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
4,ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
6,ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
7,ham,If you were/are free i can give. Otherwise nalla adi entey nattil kittum
8,ham,Hey i will be late... i'm at amk. Need to drink tea or coffee
9,ham,Hey are we going for the lo lesson or gym? 
11,ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
12,ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
14,spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p 
17,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
18,ham,I to am looking forward to all the sex cuddling.. Only two more sleeps 
19,ham,K:)k:)what are detail you want to transfer?acc no enough?
20,ham,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.
21,ham,I am late. I will be there at
22,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
23,ham,Your brother is a genius
24,ham,When are you going to ride your bike?
25,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
26,ham,What does the dance river do?
27,spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X
28,ham,Do u still have plumbers tape and a wrench we could borrow?
29,spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
33,ham,Long time. You remember me today.
36,ham,I think i've fixed it can you send a test message?
38,ham,Please tell me not all of my car keys are in your purse
41,ham,"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow"
42,ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
44,ham,"Yo my trip got postponed, you still stocked up?"
47,ham,Goin to workout lor... Muz lose e fats... 
48,ham,"sure, but make sure he knows we ain't smokin yet"
49,spam,RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50
51,ham,Nope... C Ì_ then...
52,ham,S:)but he had some luck.2 catches put down:)
53,ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
54,ham,Please sen :)my kind advice :-)please come here and try:-)
55,ham,Ryder unsold.now gibbs.
56,ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
57,ham,U still painting ur wall?
58,ham,So when you gonna get rimac access 
59,spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
60,ham,Yun ah.now Ì_ wkg where?btw if Ì_ go nus sc. ÌÏ wana specialise in wad?
61,ham,I wont do anything de.
62,ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
63,spam,UÛªve Bin Awarded å£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min å£50-å£500. OptOut 08718727870
64,ham,"Yeah why not, is the gang all ready"
65,spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
68,ham,Huh? 6 also cannot? Then only how many mistakes?
69,ham,What happen dear. Why you silent. I am tensed
70,ham,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
71,ham,No da if you run that it activate the full version da.
72,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
74,ham,I had it already..sabarish asked me to go..
75,ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
76,ham,Still chance there. If you search hard you will get it..let have a try :)
77,ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
78,ham,I can't describe how lucky you are that I'm actually awake by noon
79,ham,Sat right? Okay thanks... 
80,ham,It means u could not keep ur words.
81,ham,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today
82,ham,Thts god's gift for birds as humans hav some natural gift frm god..
83,ham,I know a few people I can hit up and fuck to the yes
84,ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
85,ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
86,spam,You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill
87,ham,Thank you princess! You are so sexy...
89,ham,"Haha awesome, omw back now then"
90,ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
91,ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!
92,ham,Yup Ì_ not comin :-(
93,ham,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun
94,ham,"I shall book chez jules for half eight, if that's ok with you?"
95,ham,I'm awake oh. What's up.
97,ham,Yes see ya not on the dot
98,spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
100,ham,How much she payed. Suganya.
101,ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
102,ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
103,ham,"Sir, waiting for your letter."
104,ham,"Sure thing big man. i have hockey elections at 6, shouldnÛ÷t go on longer than an hour though"
106,ham,Stop the story. I've told him i've returned it and he's saying i should not re order it.
107,ham,Neva mind it's ok..
108,ham,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
109,ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
110,ham,I cant pick the phone right now. Pls send a message
111,ham,"I can. But it will tell quite long, cos i haven't finish my film yet..."
112,ham,ÌÏ called dad oredi...
113,ham,Its sunny in california. The weather's just cool
115,ham,Not course. Only maths one day one chapter with in one month we can finish.
116,ham,"Sorry, I'll call later"
117,ham,What he said is not the matter. My mind saying some other matter is there.
119,ham,I liked the new mobile
120,ham,Yes. I come to nyc for audiitions and am trying to relocate.
121,ham,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
122,ham,"Sorry, I'll call later"
123,ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
124,ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
127,ham,&lt;#&gt;  am I think? Should say on syllabus
128,ham,"I'm in solihull, | do you want anything?"
129,ham,Check with nuerologist.
130,ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk."
132,spam,"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
133,ham,Sending you greetings of joy and happiness. Do have a gr8 evening
134,ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos..."
137,ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! "
140,ham,How are you doing. How's the queen. Are you going for the royal wedding
142,ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING"""
146,ham,Why don't you wait 'til at least wednesday to see if you get your .
147,spam,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!
148,ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
150,ham,Nope... Think i will go for it on monday... Sorry i replied so late
151,ham,Well i will watch shrek in 3D!!B)
152,ham,O shore are you takin the bus
154,ham,Well at this right I'm gonna have to get up and check today's steam sales/pee so text me when you want me to come get you
156,ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
157,ham,* Will have two more cartons off u and is very pleased with shelves
158,ham,He dint tell anything. He is angry on me that why you told to abi.
161,ham,How come i din c Ì_... Yup i cut my hair...
162,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
164,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
165,spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
166,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
167,ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
168,ham,Din i tell u jus now 420
169,ham,Hahaha..use your brain dear
170,spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
172,ham,Jesus armand really is trying to tell everybody he can find
173,ham,Captain vijaykanth is doing comedy in captain tv..he is drunken :)
175,spam,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
176,spam,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
177,ham,Sounds great! Are you home now?
178,ham,Take us out shopping and Mark will distract Isaiah.=D
179,ham,"No, but you told me you were going, before you got drunk!"
180,ham,Horrible bf... I now v hungry...
181,ham,Ok...
182,ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
183,ham,Ok i thk i got it. Then u wan me 2 come now or wat?
184,ham,Hope you are feeling great. Pls fill me in. Abiola
185,ham,Oh ok..
186,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
187,ham,"Hm good morning, headache anyone? :-)"
188,ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
191,ham,Hey... What time is your driving on fri? We go for evaluation on fri?
192,ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
194,ham,That sucks. I'll go over so u can do my hair. You'll do it free right?
195,ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
197,spam,TBS/PERSOLVO. been chasing us since Sept forå£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
198,ham,\Hey j! r u feeling any better
199,ham,S.this will increase the chance of winning.
200,ham,"As usual..iam fine, happy &amp; doing well..:)"
201,spam,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p "
202,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
205,ham,Staff of placement training in Amrita college.
206,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
207,ham,"I prefer my free days... Tues, wed, fri oso can... ÌÏ ask those workin lor..."
208,ham,Wat's da model num of ur phone?
209,ham,K. I will sent it again
210,spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
212,ham,I love to give massages. I use lots of baby oil... What is your fave position?
213,ham,Wait 2 min..stand at bus stop
214,ham,\Keep ur problems in ur heart
216,ham,"Wow ... I love you sooo much, you know ? I can barely stand it ! I wonder how your day goes and if you are well, my love ... I think of you and miss you"
217,ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
220,ham,Lmao!nice 1
222,ham,Wat time r Ì_ going to xin's hostel?
223,spam,You have 1 new message. Call 0207-083-6089
226,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8"""
227,ham,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?"
228,ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...
229,ham,Is that what time you want me to come?
230,ham,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.
231,ham,How much u trying to get?
232,ham,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
233,ham,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite"""
234,ham,Ok.ok ok..then..whats ur todays plan
235,ham,No it will reach by 9 only. She telling she will be there. I dont know
236,ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
237,ham,Easy ah?sen got selected means its good..
238,ham,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
239,ham,Dai  &lt;#&gt;  naal eruku.
240,ham,True lov n care wil nevr go unrecognized. though somone often makes mistakes when valuing it. but they will definitly undrstnd once when they start missing it.
241,ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
244,ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
247,ham,Got it! It looks scrumptious... daddy wants to eat you all night long!
249,ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."""
250,ham,No that just means you have a fat head
251,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
252,ham,"Like  &lt;#&gt; , same question"
253,ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
255,ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!
256,ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!
257,ham,Ok thanx...
258,ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
259,ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
260,ham,You are right. Meanwhile how's project twins comin up
261,ham,"Nah, I'm a perpetual DD"
263,ham,Hey they r not watching movie tonight so i'll prob b home early...
264,ham,"Jay told me already, will do"
265,ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
267,spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
268,ham,Thanks for this hope you had a good day today
269,ham,Enjoy urself tmr...
271,spam,Marvel Mobile Play the official Ultimate Spider-man game (å£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
273,ham,Should I have picked up a receipt or something earlier
274,ham,Hope you are having a great day.
275,ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
276,ham,S:)8 min to go for lunch:)
277,ham,ARR birthday today:) i wish him to get more oscar.
278,ham,Please attend the phone:)
279,ham,I'm very happy for you babe ! Woo hoo party on dude!
280,ham,I'm at work. Please call
281,spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
282,ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
284,ham,PS U no ur a grown up now right?
285,ham,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..
287,ham,No did you check? I got his detailed message now
288,ham,Painful words- \I thought being Happy was the most toughest thing on Earth... But
289,ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
290,spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. Aå£1.50 minAPN LS278BB
291,ham,Did u got that persons story
293,spam,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription"
294,ham,Watching tv now. I got new job :)
