date,close,volume,open,high,low
2010-03-01,8.957,41193612,8.818,8.979,8.805
2010-03-02,8.951,42445884,8.997,9.036,8.903
2010-03-03,8.971,27853946,8.955,8.994,8.912
2010-03-04,9.03,26877572,8.969,9.039,8.941
2010-03-05,9.384,67394228,9.212,9.416,9.198
2010-03-08,9.389,32198049,9.429,9.432,9.354
2010-03-09,9.558,68972441,9.356,9.643,9.338
2010-03-10,9.636,44672326,9.593,9.663,9.566
2010-03-11,9.664,30362733,9.596,9.664,9.571
2010-03-12,9.711,31152585,9.744,9.76,9.675
2010-03-15,9.593,36901631,9.659,9.664,9.439
2010-03-16,9.619,33474597,9.608,9.642,9.536
2010-03-17,9.605,33750412,9.639,9.705,9.569
2010-03-18,9.628,25546822,9.604,9.643,9.54
2010-03-19,9.525,41900724,9.634,9.653,9.481
2010-03-22,9.632,34148488,9.449,9.686,9.435
2010-03-23,9.787,45115447,9.67,9.805,9.604
2010-03-24,9.83,44825941,9.756,9.866,9.75
2010-03-25,9.714,40638939,9.897,9.899,9.696
2010-03-26,9.896,47995997,9.812,9.941,9.795
2010-03-29,9.96,39266126,9.986,10.023,9.927
2010-03-30,10.108,39397901,10.14,10.178,10.039
2010-03-31,10.071,32231523,10.092,10.14,10.048
2010-04-01,10.113,45170488,10.178,10.231,9.975
2010-04-05,10.221,51109080,10.07,10.222,10.062
2010-04-06,10.266,33429594,10.209,10.296,10.157
2010-04-07,10.311,47072753,10.274,10.368,10.228
2010-04-08,10.284,42869916,10.305,10.352,10.202
2010-04-09,10.362,25032931,10.347,10.367,10.305
2010-04-12,10.384,24971065,10.38,10.417,10.363
2010-04-13,10.39,22855230,10.365,10.406,10.333
2010-04-14,10.53,30248325,10.512,10.535,10.46
2010-04-15,10.668,28162814,10.533,10.673,10.522
2010-04-16,10.603,56254207,10.653,10.763,10.481
2010-04-19,10.589,42471420,10.587,10.624,10.362
2010-04-20,10.482,53337852,10.652,10.682,10.412
2010-04-21,11.109,73521883,11.092,11.154,10.96
2010-04-22,11.42,59354942,11.067,11.432,10.98
2010-04-23,11.607,59671917,11.485,11.665,11.443
2010-04-26,11.55,35813662,11.652,11.677,11.494
2010-04-27,11.23,53086713,11.454,11.479,11.165
2010-04-28,11.211,56812661,11.282,11.314,10.989
2010-04-29,11.513,41856750,11.272,11.571,11.229
2010-04-30,11.19,40626591,11.542,11.596,11.186
2010-05-03,11.415,34003105,11.307,11.481,11.266
2010-05-04,11.086,54186169,11.267,11.284,11.004
2010-05-05,10.971,66106003,10.844,11.063,10.66
