index,work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary
1282,2023,SE,FT,Data Science Lead,US,,US,M,225900
220,2023,SE,FT,Data Analyst,US,,US,M,140000
3568,2021,SE,FT,Data Engineer,US,100.0,US,M,150000
129,2023,MI,FT,Data Analytics Manager,US,,US,M,155000
1216,2023,SE,FT,Data Engineer,US,100.0,US,M,160000
698,2023,SE,FT,Data Scientist,US,,US,M,160000
178,2023,SE,FT,Data Engineer,US,,US,M,155000
1873,2022,EN,FT,Data Science Consultant,IT,50.0,IT,M,24165
2554,2022,MI,FT,Data Engineer,BR,100.0,BR,M,42000
602,2023,EN,FT,Data Engineer,US,100.0,US,M,61800
1355,2023,SE,FT,Machine Learning Engineer,US,,US,M,142200
561,2023,MI,FT,Data Analyst,US,,US,M,128000
172,2023,SE,FT,Data Engineer,US,,US,M,120000
834,2023,SE,FT,Research Scientist,US,,US,M,215000
2469,2022,SE,FT,Data Analyst,US,,US,M,95000
1659,2023,SE,FT,Machine Learning Engineer,US,,US,M,145000
1816,2022,MI,FT,Data Scientist,IN,100.0,IN,L,13989
1332,2023,SE,FT,Research Scientist,CA,,CA,M,145900
1950,2022,MI,FT,Data Analyst,US,,US,M,150000
1566,2023,SE,FT,Data Analyst,ES,,ES,M,40777
3394,2022,SE,FT,Data Analyst,US,100.0,US,M,170000
1872,2022,EN,FT,Data Engineer,US,,US,M,135000
2646,2022,MI,FT,Data Manager,US,,US,M,134000
415,2023,SE,FT,Data Scientist,US,100.0,US,M,175000
1919,2022,MI,FT,NLP Engineer,PL,100.0,PL,S,44365
122,2023,SE,FT,Machine Learning Engineer,US,100.0,US,M,188800
2850,2022,MI,FT,Data Analyst,US,100.0,US,M,136000
2448,2022,SE,FT,Data Analyst,US,,US,M,169000
524,2023,MI,FT,Data Architect,US,,US,M,106500
1012,2023,SE,FT,Data Scientist,US,,US,M,129300
1356,2023,SE,FT,Data Engineer,US,,US,M,226700
1938,2022,SE,FT,Data Engineer,US,,US,M,100000
3040,2022,SE,FT,Data Engineer,US,100.0,US,L,177600
992,2023,SE,FT,Data Engineer,US,,US,M,129300
3319,2022,SE,FT,Data Scientist,US,,US,L,140400
2771,2022,SE,FT,Data Scientist,US,100.0,US,M,141525
3454,2022,MI,FT,Principal Data Analyst,CA,100.0,CA,S,75000
3532,2021,MI,FT,Data Engineer,US,100.0,US,L,90000
969,2023,MI,FT,Research Scientist,US,,US,M,185000
908,2023,MI,FT,Machine Learning Infrastructure Engineer,US,,US,M,205920
1924,2022,EX,FT,Data Engineer,US,,US,M,200000
2488,2022,SE,FT,Data Analyst,US,,US,M,80000
2347,2022,SE,FT,Machine Learning Engineer,US,,US,M,172200
1580,2023,SE,FT,Data Architect,US,,US,M,113000
404,2023,SE,FT,Data Analyst,US,,US,M,105500
1706,2023,SE,FT,Research Scientist,US,,US,M,210000
2587,2022,SE,FT,Data Scientist,US,,US,M,129300
131,2023,SE,FT,Data Engineer,US,100.0,US,M,161800
3617,2020,MI,FT,Data Scientist,DE,,DE,L,79833
1148,2023,MI,FT,Data Analyst,US,,US,M,60000
3138,2020,EN,FT,Data Analyst,PT,100.0,PT,M,22809
2702,2022,SE,FT,Data Engineer,US,100.0,US,L,132100
3506,2020,MI,FT,Data Engineer,DE,100.0,DE,S,59303
1276,2023,MI,FT,Data Analyst,US,,US,M,105000
1871,2022,EN,FT,Data Engineer,US,,US,M,160000
956,2023,SE,FT,Research Scientist,US,,US,M,250000
1350,2023,SE,FT,BI Developer,US,100.0,US,M,135000
1227,2023,SE,FT,Data Engineer,US,,US,M,252000
644,2023,SE,FT,Data Engineer,US,100.0,US,M,106800
2419,2022,MI,FT,Data Engineer,US,100.0,US,M,160000
2723,2022,SE,FT,Data Analyst,US,100.0,US,M,99750
3136,2022,SE,FT,Machine Learning Engineer,US,100.0,US,L,202900
3546,2021,EN,FT,Data Analyst,FR,50.0,FR,M,59102
79,2023,SE,FT,Data Engineer,US,100.0,US,M,139000
1308,2023,MI,FT,Machine Learning Engineer,MX,100.0,MX,S,36000
1574,2023,SE,FT,Data Scientist,US,100.0,US,M,145000
2748,2022,SE,FT,Data Scientist,US,100.0,US,M,191475
3166,2022,SE,FT,Data Scientist,US,100.0,US,L,215300
1290,2023,MI,FT,Data Analyst,US,100.0,US,M,110000
2787,2022,SE,FT,Data Analyst,US,100.0,US,M,144000
2412,2022,MI,FT,Data Analyst,US,,US,M,109000
1286,2023,SE,FT,Machine Learning Engineer,US,100.0,US,M,318300
2173,2022,SE,FT,Data Engineer,US,100.0,US,M,194000
1534,2023,MI,FT,Data Analyst,US,,US,M,100000
1648,2023,SE,FT,Data Engineer,US,,US,M,180000
3670,2021,EN,FT,Data Science Consultant,US,100.0,US,S,90000
1100,2023,SE,FT,Data Scientist,US,,US,M,200160
2455,2022,SE,FT,Data Scientist,US,,US,M,180000
3263,2022,MI,FT,Data Engineer,US,100.0,US,M,150000
611,2023,EN,FT,Data Engineer,US,100.0,US,M,62000
723,2023,SE,FT,Data Analyst,US,,US,M,55000
2597,2022,MI,FT,Data Engineer,GB,,GB,M,92350
3048,2022,SE,FT,Data Engineer,US,100.0,US,M,145000
2022,2022,SE,FT,3D Computer Vision Researcher,CA,50.0,AL,S,10000
2880,2022,SE,FT,Data Scientist,US,100.0,US,M,154000
2615,2022,SE,FT,Data Engineer,US,,US,M,130000
3538,2021,MI,CT,ML Engineer,US,100.0,US,L,270000
2908,2022,SE,FT,Data Analyst,US,,US,L,115000
883,2023,SE,FT,Data Analyst,US,,US,M,121700
1484,2022,SE,FT,Machine Learning Engineer,FR,50.0,FR,L,84053
3233,2022,SE,FT,Data Scientist,US,,US,M,80000
3028,2022,SE,FT,Data Scientist,US,,US,M,205000
2861,2022,SE,FT,Data Engineer,US,100.0,US,M,150000
2670,2022,SE,FT,Data Engineer,US,,US,M,300000
1222,2023,SE,FT,Data Analyst,ES,100.0,ES,M,51508
2181,2022,SE,FT,Data Analyst,US,,US,M,130000
1992,2022,SE,FT,Data Scientist,US,100.0,US,M,104000
2398,2022,SE,FT,Data Scientist,US,,US,M,185900
2292,2022,SE,FT,Data Scientist,US,,US,M,129300
802,2023,SE,FT,Data Analyst,US,100.0,US,M,138000
2016,2022,SE,FT,Data Analyst,US,,US,M,110600
2263,2022,SE,FT,Data Scientist,US,100.0,US,M,148000
1462,2023,MI,FT,Head of Data Science,IN,50.0,IN,L,60795
3206,2022,SE,FT,Machine Learning Engineer,US,,US,M,189650
206,2023,MI,FT,Data Engineer,US,,US,M,130000
1818,2023,MI,FT,Data Scientist,US,,US,M,90000
1710,2023,MI,FT,Machine Learning Engineer,GB,,GB,M,109006
3051,2022,MI,FT,Machine Learning Engineer,US,,US,M,193900
1451,2023,SE,FT,Data Architect,US,,US,M,113000
74,2023,SE,FT,Computer Vision Engineer,US,,US,M,280000
662,2023,EN,FT,Data Analyst,US,100.0,US,M,70000
811,2023,MI,FT,Data Science Manager,US,,US,M,70000
124,2023,SE,FT,Analytics Engineer,US,,US,M,214200
2936,2022,SE,FT,Data Scientist,US,100.0,US,M,130000
1851,2022,SE,FT,Data Engineer,US,100.0,US,M,250000
2609,2022,SE,FT,Data Scientist,US,,US,M,88100
2132,2022,MI,FT,Data Analyst,US,,US,M,100000
1690,2023,SE,FT,Data Engineer,US,,US,M,160000
788,2023,SE,FT,Machine Learning Engineer,US,,US,M,126000
1260,2023,MI,FT,Product Data Analyst,IN,100.0,IN,L,16414
2289,2022,SE,FT,Applied Scientist,US,100.0,US,M,205000
3662,2020,EN,FT,Data Scientist,FR,,FR,M,39916
447,2023,SE,FT,Machine Learning Engineer,CA,100.0,CA,M,115000
1615,2023,SE,FT,Data Scientist,US,100.0,US,M,130000
251,2023,EN,FT,Data Engineer,US,,US,M,65000
2825,2022,SE,FT,Machine Learning Scientist,US,,US,M,129300
1907,2022,SE,FT,Data Science Manager,US,,US,M,175000
272,2023,SE,FT,Applied Scientist,US,,US,L,260000
716,2023,SE,FT,Data Scientist,US,100.0,US,M,297300
2158,2022,MI,FT,Data Analyst,US,,US,M,165000
2204,2022,SE,FT,Data Engineer,US,,US,M,130000
1730,2023,SE,FT,Data Engineer,US,,US,M,226700
3317,2022,SE,FT,Data Engineer,US,100.0,US,M,160000
3132,2022,SE,FT,Data Analyst,US,100.0,US,M,110925
1651,2023,SE,FT,Data Scientist,US,,US,M,168400
349,2023,EN,FT,Applied Scientist,US,,US,L,130760
2454,2022,SE,FT,Data Scientist,US,,US,M,245000
1331,2023,SE,FT,Research Scientist,CA,,CA,M,248100
913,2023,MI,FT,Data Engineer,US,,US,M,116000
1943,2022,MI,FT,Data Engineer,US,100.0,US,M,120000
2334,2022,SE,FT,Machine Learning Engineer,US,,US,M,142200
858,2023,SE,FT,Machine Learning Engineer,US,,US,M,247500
1315,2023,MI,FT,Machine Learning Engineer,GB,,GB,M,121523
190,2023,MI,FT,Machine Learning Engineer,US,,US,M,300000
2957,2022,SE,FT,Data Engineer,CA,100.0,CA,M,137400
1618,2023,MI,FT,Data Engineer,US,,US,M,120000
789,2023,MI,FT,Data Scientist,US,,US,M,128750
1687,2023,SE,FT,BI Developer,US,100.0,US,M,110000
1052,2023,SE,FT,Data Analyst,US,,US,M,169000
368,2023,MI,FT,Research Scientist,GB,,GB,M,102772
978,2023,SE,FT,Data Analyst,US,100.0,US,M,93800
3352,2022,SE,FT,Data Engineer,US,100.0,US,M,130000
322,2023,EN,FT,Data Analyst,CA,,CA,L,40663
425,2023,EN,FT,Data Analyst,US,100.0,US,M,64200
706,2023,MI,FT,Data Engineer,GB,100.0,GB,M,57723
1352,2023,EX,FT,Data Analytics Manager,US,,US,M,155000
1715,2023,SE,FT,NLP Engineer,US,,US,M,175000
3322,2022,SE,FT,Data Engineer,US,100.0,US,M,200100
372,2023,MI,FT,Data Specialist,US,,US,M,80000
1716,2023,SE,FT,Data Scientist,US,100.0,US,M,170000
2476,2022,SE,FT,Data Analyst,US,,US,M,127000
1940,2022,SE,FT,Data Engineer,ES,,ES,M,73546
2715,2022,SE,FT,Data Engineer,US,,US,L,229998
2021,2022,MI,FT,Data Analyst,US,100.0,US,M,60000
3200,2022,MI,FT,Data Engineer,ES,100.0,ES,M,84053
1713,2023,SE,FT,Data Scientist,US,100.0,US,M,115000
1335,2023,MI,FT,Data Scientist,US,100.0,US,M,151410
2909,2022,EN,FT,Data Scientist,ES,50.0,ES,M,31520
2628,2022,SE,FT,Data Engineer,US,,US,M,185900
2283,2022,SE,FT,Data Scientist,US,100.0,US,M,168000
2863,2022,SE,FT,Data Engineer,US,100.0,US,M,250000
176,2023,SE,FT,Data Analyst,CF,100.0,CF,M,42533
1228,2023,SE,FT,Data Engineer,US,,US,M,129000
1823,2022,SE,FT,Data Engineer,US,,US,M,155000
3537,2021,MI,,3D Computer Vision Researcher,IN,50.0,IN,M,5409
2754,2022,SE,FT,Data Analyst,US,,US,M,110000
2052,2022,SE,FT,Data Scientist,US,100.0,US,M,173000
2808,2022,SE,FT,Data Engineer,US,100.0,US,M,140000
201,2023,SE,FT,Data Architect,US,100.0,US,M,115000
1962,2022,MI,FT,Analytics Engineer,US,100.0,US,M,122500
771,2023,SE,FT,Data Engineer,GB,,GB,M,136956
223,2023,SE,FT,Data Engineer,US,,US,M,81500
1956,2022,SE,FT,Data Scientist,US,100.0,US,M,175000
78,2023,SE,FT,Data Engineer,US,100.0,US,M,193500
3290,2022,SE,FT,Data Analyst,CA,100.0,CA,M,130000
1219,2023,SE,FT,Data Engineer,US,,US,M,180000
3736,2021,MI,FT,Data Analyst,US,,US,L,75000
1159,2023,MI,FT,Data Engineer,US,100.0,US,M,140000
1195,2023,SE,FT,Data Architect,US,100.0,US,M,198000
997,2023,MI,FT,Data Scientist,FR,50.0,FR,L,40000
3558,2021,EX,FT,BI Data Analyst,IN,100.0,US,L,150000
45,2023,SE,FT,Data Engineer,US,,US,M,221484
1049,2023,MI,FT,Insight Analyst,GB,,GB,M,42533
2790,2022,SE,FT,Data Architect,US,100.0,US,L,195400
1118,2021,MI,FT,AI Scientist,GH,,GH,S,30000
2094,2022,MI,FT,Data Scientist,FR,100.0,FR,M,52533
216,2023,SE,FT,Data Analyst,US,100.0,US,M,75000
2943,2022,SE,FT,Lead Data Scientist,PT,50.0,PT,S,29944
1121,2023,MI,FT,Data Infrastructure Engineer,US,100.0,US,M,190000
689,2023,MI,FT,Data Scientist,US,,US,M,145000
3301,2022,SE,FT,Data Analyst,US,100.0,US,M,90320
1420,2023,SE,FT,Machine Learning Engineer,US,,US,M,150000
758,2023,SE,FT,Data Analyst,US,,US,M,110600
2206,2022,EN,FT,3D Computer Vision Researcher,US,100.0,CR,S,50000
3379,2022,SE,FT,Data Scientist,US,100.0,US,M,140000
965,2023,SE,FT,Data Scientist,ES,,ES,M,38631
821,2023,SE,FT,Data Analyst,US,100.0,US,M,94000
1208,2023,EN,FT,Research Engineer,GB,100.0,GB,M,60000
2029,2022,EN,FT,Data Scientist,US,,US,M,74540
1057,2023,SE,FT,Data Analyst,US,,US,M,180000
3515,2021,EX,FT,Director of Data Science,DE,50.0,DE,M,130026
308,2023,SE,FT,Data Analyst,US,100.0,US,M,142000
1076,2023,SE,FT,Data Engineer,US,,US,M,87980
354,2023,SE,FT,Data Scientist,US,,US,M,185900
2541,2022,SE,FT,Data Engineer,US,,US,M,99000
2618,2022,SE,FT,Analytics Engineer,US,,US,M,150000
3003,2022,SE,FT,Data Engineer,US,,US,M,130500
2818,2022,SE,FT,Applied Machine Learning Scientist,US,,US,L,108000
1863,2022,SE,FT,Machine Learning Software Engineer,CA,100.0,CA,M,248400
2499,2022,SE,FT,Machine Learning Engineer,US,,US,M,142200
2373,2022,SE,FT,Data Scientist,US,,US,M,93800
1798,2023,SE,FT,Data Engineer,US,,US,M,161800
812,2023,MI,FT,Data Science Consultant,US,,US,M,90000
1034,2023,EX,FT,Head of Data Science,GB,,GB,M,160288
267,2023,SE,FT,Data Engineer,US,,US,L,123700
827,2023,SE,FT,Data Analyst,US,100.0,US,M,119500
2760,2022,SE,FT,Data Scientist,US,100.0,US,M,191475
3210,2022,MI,FT,Data Engineer,GB,100.0,GB,M,92350
1019,2022,SE,FT,Lead Data Scientist,US,100.0,US,L,192000
1682,2023,SE,FT,Data Scientist,US,100.0,US,M,84000
3151,2022,SE,FT,ML Engineer,US,,US,M,160000
2831,2022,SE,FT,Analytics Engineer,US,100.0,US,M,100000
3701,2021,SE,FT,Research Scientist,FR,100.0,US,S,50000
2228,2022,SE,FT,Data Scientist,US,,US,M,185900
1526,2023,SE,FT,ML Engineer,US,,US,M,135000
2061,2022,SE,FT,Data Engineer,US,100.0,US,M,194000
1330,2023,EX,FT,Data Engineer,US,100.0,US,M,236000
53,2023,SE,FT,Data Scientist,US,100.0,US,M,199098
2301,2022,SE,FT,Data Engineer,US,,US,M,102000
2273,2022,MI,FT,Data Analyst,CA,,CA,M,100000
2284,2022,SE,FT,Data Scientist,US,100.0,US,M,130000
2712,2022,MI,FT,Data Scientist,TR,,TR,M,10000
3518,2021,EX,FT,Head of Data Science,RU,,RU,M,85000
1952,2022,SE,FT,Data Scientist,ES,,ES,M,47280
2227,2022,MI,FT,Data Scientist,US,,US,M,120000
2900,2022,SE,FT,Data Scientist,US,100.0,US,M,191475
464,2023,SE,FT,Data Scientist,US,,US,M,135000
900,2023,MI,FT,Machine Learning Scientist,US,,US,S,200000
841,2023,MI,FT,Data Engineer,US,,US,M,260000
2225,2022,SE,FT,Data Engineer,US,,US,M,134000
2007,2022,MI,FT,Data Engineer,US,100.0,US,M,187000
1313,2023,SE,FT,Data Scientist,US,100.0,US,M,235000
1954,2022,SE,FT,Data Analyst,US,100.0,US,M,115934
2990,2022,SE,FT,Machine Learning Engineer,US,100.0,US,M,135000
2756,2022,SE,FT,Data Scientist,US,100.0,US,M,191475
1856,2022,SE,FT,Data Scientist,US,100.0,US,M,198200
2718,2022,SE,FT,Data Scientist,US,,US,L,159000
3208,2022,MI,FT,Data Analyst,GR,100.0,GR,M,42026
3302,2022,SE,FT,Data Engineer,US,100.0,US,M,165400
1495,2023,SE,FT,Data Engineer,US,,US,M,140000
781,2023,SE,FT,Analytics Engineer,US,100.0,US,M,170000
749,2023,SE,FT,Data Engineer,US,,US,M,146000
3564,2021,SE,FT,Lead Data Engineer,GB,100.0,GB,S,103160
2635,2022,SE,FT,Data Engineer,US,,US,M,129300
3653,2021,SE,FT,Research Scientist,CA,50.0,CA,L,96113
2970,2022,MI,FT,Applied Machine Learning Scientist,US,50.0,US,M,173000
3503,2021,EN,FT,Machine Learning Developer,IQ,50.0,IQ,S,100000
1820,2023,EN,FT,Data Engineer,US,,US,M,135000
3698,2021,SE,FT,Machine Learning Engineer,US,100.0,US,L,200000
27,2023,SE,FT,Machine Learning Engineer,US,,US,M,200000
1766,2023,MI,FT,Data Scientist,US,,US,M,120000
3358,2022,SE,FT,Data Architect,US,100.0,US,M,192564
169,2023,SE,FT,Analytics Engineer,US,100.0,US,M,150000
142,2023,EN,FT,Data Analyst,US,,US,M,70000
98,2023,SE,FT,Data Engineer,US,100.0,US,M,185000
1183,2023,SE,FT,Data Analyst,US,,US,M,169000
3356,2022,SE,FT,Data Analyst,US,100.0,US,M,80000
3656,2021,EN,FT,Machine Learning Engineer,CO,50.0,CO,M,21844
2653,2022,MI,FT,Data Scientist,US,100.0,US,M,115360
2606,2022,SE,FT,Data Scientist,US,100.0,US,M,168000
3146,2022,SE,FT,Data Scientist,US,,US,M,186000
1998,2022,SE,FT,Data Engineer,US,100.0,US,M,144000
3555,2021,MI,FT,BI Data Analyst,US,100.0,US,M,100000
2430,2022,SE,FT,Data Engineer,US,,US,M,247500
2125,2022,SE,FT,Data Engineer,US,,US,M,95000
1113,2023,SE,FT,Data Analyst,US,,US,M,85000
3167,2022,SE,FT,Data Scientist,US,100.0,US,L,158200
863,2023,SE,FT,Data Analyst,US,,US,M,110000
1038,2023,SE,FT,Data Engineer,US,,US,M,124740
2887,2022,MI,FT,Financial Data Analyst,US,,US,M,75000
64,2023,SE,FT,Data Engineer,US,,US,M,238000
1412,2023,EN,FT,Big Data Engineer,SE,100.0,SE,S,130000
1910,2022,SE,FT,Data Engineer,US,,US,M,106500
3504,2021,MI,FT,Data Engineer,US,100.0,US,L,100000
3184,2022,SE,FT,Data Engineer,US,100.0,US,M,165400
2779,2022,MI,FT,Data Engineer,GB,100.0,GB,M,67723
2259,2022,SE,FT,Data Engineer,US,100.0,US,M,125000
2996,2022,SE,FT,Data Architect,US,100.0,US,M,149040
474,2023,SE,FT,Data Analyst,US,100.0,US,M,100000
1379,2023,SE,FT,Data Engineer,US,,US,M,129000
1026,2023,SE,FT,Data Engineer,US,,US,M,139500
2633,2022,SE,FT,Data Scientist,US,100.0,US,M,175000
32,2023,SE,FT,Data Engineer,US,,US,M,90700
1001,2023,SE,FT,Data Scientist,US,100.0,US,M,136000
1734,2023,SE,FT,Data Analyst,US,100.0,US,M,130000
765,2023,MI,FT,Data Scientist,ES,,ES,M,59020
2638,2022,SE,FT,Data Analyst,US,100.0,US,M,115000
1397,2023,EX,FT,Head of Data Science,US,,US,M,195800
972,2022,MI,FT,Business Data Analyst,BR,100.0,BR,M,9289
1450,2023,SE,FT,Data Architect,US,,US,M,174500
2993,2022,SE,FT,Data Science Manager,US,100.0,US,M,175100
667,2023,SE,FT,Data Scientist,US,,US,M,175000
2778,2022,MI,FT,Data Engineer,GB,100.0,GB,M,80036
3230,2022,MI,FT,Data Science Manager,US,100.0,US,M,241000
3507,2021,MI,FT,Research Scientist,FR,50.0,FR,M,62649
970,2023,MI,FT,Research Scientist,US,,US,M,125000
1139,2023,SE,FT,Machine Learning Software Engineer,US,,US,M,180000
3450,2022,MI,FT,Machine Learning Scientist,US,50.0,US,M,153000
2728,2022,SE,FT,Data Science Manager,US,100.0,US,M,179775
1132,2023,SE,FT,Data Science Manager,US,,US,M,245100
2780,2022,SE,FT,Data Engineer,US,,US,M,141300
652,2023,SE,FT,Data Analyst,US,,US,M,100500
1091,2023,MI,FT,Deep Learning Engineer,US,100.0,US,M,150000
3013,2022,SE,FT,Machine Learning Engineer,US,,US,M,129300
918,2023,SE,FT,Data Analyst,US,,US,M,180000
721,2023,SE,FT,Data Infrastructure Engineer,US,100.0,US,M,143000
450,2023,MI,FT,Data Analyst,US,,US,M,121500
1099,2023,SE,FT,Data Scientist,US,,US,M,300240
291,2023,SE,FT,Data Scientist,US,100.0,US,M,145000
835,2023,SE,FT,Research Scientist,US,,US,M,146300
2484,2022,SE,FT,Data Analyst,US,,US,M,130000
639,2023,SE,FT,Data Scientist,US,,US,M,190000
3463,2022,SE,FT,Data Analytics Lead,US,100.0,US,L,405000
2239,2022,SE,FT,Data Engineer,US,,US,M,145000
