ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
463864,Male,Yes,81,No,Executive,,High,2.0,Cat_6,B
465025,Male,Yes,73,Yes,Executive,0.0,High,2.0,Cat_6,C
461687,Female,Yes,77,Yes,Artist,0.0,High,2.0,Cat_6,B
461646,Female,Yes,60,Yes,Artist,,High,4.0,Cat_6,C
459591,Male,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,C
460504,Male,,43,No,Executive,,Average,3.0,Cat_3,A
463194,Female,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_3,B
463733,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,D
462246,Female,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,B
464805,Male,Yes,35,No,Doctor,0.0,Low,1.0,Cat_4,A
460286,Female,No,41,Yes,Artist,4.0,Low,1.0,Cat_6,D
464664,Male,Yes,39,No,Entertainment,1.0,Average,5.0,Cat_4,B
465988,Female,Yes,58,Yes,Homemaker,0.0,High,2.0,Cat_5,B
462623,Male,No,35,No,Healthcare,,Low,1.0,Cat_4,D
465376,Female,No,30,Yes,Entertainment,1.0,Low,4.0,Cat_4,A
462727,Female,Yes,81,No,Lawyer,0.0,High,2.0,Cat_6,A
463669,Female,Yes,31,Yes,Marketing,7.0,High,4.0,Cat_2,A
459571,Female,Yes,53,Yes,Executive,0.0,High,4.0,Cat_6,C
459800,Female,No,37,No,Engineer,0.0,Low,1.0,Cat_6,D
460990,Male,No,22,No,Healthcare,1.0,Low,3.0,Cat_6,D
465554,Female,No,85,Yes,Lawyer,0.0,Low,3.0,Cat_6,A
466883,Female,Yes,37,Yes,Artist,2.0,Average,2.0,Cat_6,B
467050,Female,No,21,No,Engineer,0.0,Low,5.0,Cat_2,B
459941,Male,Yes,65,Yes,Artist,4.0,Low,,Cat_6,B
466004,Male,Yes,52,Yes,Artist,0.0,Average,6.0,Cat_4,C
467503,Female,No,26,Yes,Artist,1.0,Low,4.0,Cat_6,C
464435,Male,Yes,48,Yes,Entertainment,1.0,Low,3.0,Cat_6,A
467514,Male,No,43,Yes,Artist,,Low,4.0,Cat_6,D
459968,Male,No,39,Yes,Artist,11.0,Low,1.0,Cat_7,A
461464,Male,No,59,Yes,Entertainment,,Low,3.0,Cat_6,B
464628,Male,Yes,32,Yes,Artist,5.0,Average,2.0,Cat_3,A
460650,Female,,20,No,Homemaker,13.0,Low,1.0,Cat_4,D
460923,Male,Yes,49,Yes,Artist,1.0,Average,3.0,Cat_6,C
467206,Female,No,52,Yes,Artist,,Low,1.0,Cat_6,C
465063,Female,Yes,68,Yes,Lawyer,1.0,High,2.0,Cat_6,C
463239,Female,No,30,No,Doctor,1.0,Low,3.0,Cat_2,D
467915,Female,No,23,No,Doctor,0.0,Low,4.0,Cat_6,C
460898,Male,Yes,48,No,Artist,3.0,Average,4.0,Cat_6,B
459431,Male,Yes,68,No,Artist,0.0,Low,2.0,Cat_6,A
461463,Male,No,41,Yes,Artist,6.0,Low,1.0,Cat_3,B
466522,Male,,18,No,,6.0,High,4.0,Cat_3,D
466674,Female,Yes,57,Yes,Artist,0.0,High,2.0,Cat_6,C
464763,Female,Yes,49,No,Engineer,,Average,4.0,Cat_4,B
460883,Male,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,B
461201,Female,No,59,Yes,Artist,,Low,1.0,Cat_6,C
462756,Female,No,23,No,Engineer,1.0,Low,4.0,Cat_6,B
459602,Female,Yes,86,No,Lawyer,,Low,1.0,Cat_6,D
466835,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_7,B
465409,Female,No,31,No,Doctor,,Low,4.0,Cat_6,D
