ID,y
461642,A
462489,B
459573,A
461424,A
460283,A
459697,B
466565,B
460928,C
464348,A
467651,D
461395,D
466185,C
459638,D
462512,A
466848,C
462233,D
460447,A
460941,A
463668,D
461537,A
465155,A
463124,B
465019,B
463855,C
461049,A
463573,D
460995,D
461443,C
458993,D
460631,C
459704,C
465378,C
462501,C
463261,B
460300,A
465672,A
463058,D
460055,C
464106,A
462171,B
464262,A
460029,B
464911,B
460263,A
467574,D
464858,D
464307,C
461959,C
461491,C
460678,D
462031,C
465401,C
463226,B
461174,D
463302,C
463865,C
466764,C
459775,A
461727,C
464104,C
467093,C
466820,B
459932,C
462577,A
467715,C
466112,C
461996,A
464291,C
465823,A
465500,C
464573,B
459713,D
466105,C
463378,D
463694,D
461004,C
466555,D
460211,A
459561,D
466693,D
467483,C
462793,B
461826,B
465577,D
462646,A
465321,A
464257,B
465563,C
465133,C
462200,A
461696,C
459218,C
465245,D
461541,A
459057,B
459835,A
467591,C
464874,B
467884,D
462516,D
458996,A
464248,B
463833,D
467693,C
465517,C
461728,A
464123,C
460926,B
460978,D
459028,C
462748,B
460149,B
467226,D
462424,A
462118,A
459305,A
461375,D
461644,D
465316,D
465598,D
465546,D
464737,A
462714,B
465744,C
464531,A
467184,B
465909,A
460382,D
464229,D
459032,D
459793,C
459496,A
466223,B
464032,D
463318,A
465759,A
466996,A
460328,C
462049,B
466080,A
466421,D
459910,B
463929,C
459706,C
462606,A
467152,A
459269,C
463478,C
465724,A
459973,C
466629,D
466096,A
464941,D
465452,B
466984,A
462589,D
466433,A
465529,D
466422,D
459779,A
461257,B
463040,B
467427,B
459715,D
461894,C
459401,D
459852,A
463151,B
465197,C
467733,B
464709,A
460968,A
466157,A
459261,D
465513,A
464646,A
460135,D
463131,B
463747,C
467194,D
461313,C
461350,D
459839,B
459753,B
462367,C
464761,B
459527,C
465677,A
459178,C
460808,A
461396,D
464066,D
464167,C
459504,C
465523,C
467633,A
460356,D
460387,A
465143,D
465110,A
464304,A
461984,C
461408,D
466547,A
466762,A
465385,C
464983,D
462167,D
461789,C
461381,A
462933,B
459623,A
465222,A
465342,C
463837,A
460415,A
462198,A
461830,B
459655,C
462722,D
463229,D
466361,C
464478,B
467295,D
462104,A
465644,D
466225,D
459400,B
464678,C
467328,C
464741,B
467466,D
462258,D
461539,B
459161,C
463836,A
459865,C
465576,A
464588,A
462425,A
459690,A
460817,D
465721,A
460063,A
466585,D
465952,D
461194,D
461423,A
460539,A
467516,A
463025,A
460344,C
460565,B
463043,C
459963,A
459583,B
462736,D
467636,C
460972,A
461858,D
465230,C
463608,D
461384,C
466094,D
466041,A
465349,C
465623,B
460159,D
463945,A
460738,A
459921,A
460866,D
466811,D
467698,C
463363,D
461871,C
467522,D
460379,A
464493,C
461713,A
461531,A
459957,A
466736,D
465493,A
467424,C
461252,A
466953,C
465108,C
463297,D
459396,A
465293,C
461195,D
464490,C
467078,A
467334,B
462322,C
460861,D
465567,A
461334,C
466387,B
461136,B
459434,A
462194,A
462760,D
465621,A
467639,C
465757,C
466486,A
465151,B
460095,A
465987,D
460563,D
462532,D
467148,A
464067,D
463247,A
462739,B
464582,D
461164,A
463707,A
459455,A
466174,D
460227,D
462587,A
463293,D
465937,D
463974,D
459383,A
462176,A
460015,A
459517,D
466118,A
465367,B
462639,A
460238,A
460666,A
464857,D
464159,C
462138,C
459382,A
460078,B
460868,C
464526,C
467345,A
467183,B
464191,A
467130,D
466556,D
466491,B
461563,C
463491,D
459301,D
465999,D
460304,A
459284,C
465234,B
462741,A
467589,D
