carID,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
16542,vauxhall, GTC,2015,Manual,29188,Petrol,160.0,47.1,1.4,8927
12581,merc, CLS Class,2016,Automatic,44753,Diesel,125.0,57.7,2.1,17500
13317,merc, V Class,2019,Manual,100,Diesel,145.0,46.3,2.1,25000
12797,toyota, Supra,2019,Automatic,10,Petrol,145.0,34.5,3.0,49499
13941,hyundi, Santa Fe,2017,Semi-Auto,28847,Diesel,240.0,42.8,2.2,21499
17013,vw, Caravelle,2019,Automatic,2850,Diesel,145.0,32.8,2.0,39990
13447,vw, Caravelle,2019,Automatic,10500,Diesel,145.0,33.6,2.0,56000
13457,bmw, Z4,2011,Manual,64250,Petrol,305.0,33.2,2.5,10450
19441,merc, CLS Class,2013,Automatic,69300,Diesel,150.0,54.3,2.1,11900
16726,ford, KA,2012,Manual,85843,Petrol,30.0,57.7,1.2,3491
16934,merc, CLS Class,2015,Automatic,29417,Diesel,160.0,51.4,3.0,20995
14750,bmw, 8 Series,2020,Semi-Auto,1501,Petrol,145.0,31.7,3.0,59995
18180,hyundi, Getz,2007,Manual,90800,Petrol,125.0,51.4,1.1,1295
16778,hyundi, I40,2015,Manual,58915,Diesel,30.0,65.7,1.7,8000
16358,merc, X-CLASS,2019,Automatic,4000,Diesel,260.0,35.8,2.3,28990
14376,vw, Tiguan Allspace,2019,Automatic,8963,Diesel,145.0,39.2,2.0,32990
14886,vauxhall, GTC,2016,Manual,37841,Petrol,160.0,47.1,1.4,7399
15758,merc, S Class,2017,Semi-Auto,12376,Petrol,145.0,32.5,4.7,57752
13552,bmw, M4,2016,Semi-Auto,23765,Petrol,300.0,34.0,3.0,34932
18323,ford, Grand C-MAX,2017,Manual,45435,Petrol,150.0,54.3,1.0,11000
15244,vauxhall, Vivaro,2018,Manual,16273,Diesel,145.0,40.9,1.6,16999
18797,hyundi, Santa Fe,2019,Semi-Auto,9993,Diesel,145.0,42.8,2.2,29990
16687,merc, GL Class,2014,Manual,23888,Diesel,30.0,62.8,2.1,14499
12371,bmw, 7 Series,2014,Semi-Auto,74269,Diesel,165.0,50.4,3.0,18485
19150,ford, Puma,2020,Manual,270,Petrol,145.0,50.4,1.0,20775
16541,hyundi, IX35,2011,Manual,74250,Diesel,165.0,49.6,2.0,6200
15432,merc, V Class,2019,Semi-Auto,3238,Diesel,145.0,36.7,2.0,51000
15215,bmw, X4,2016,Automatic,25465,Diesel,200.0,47.9,3.0,24000
17484,ford, Grand C-MAX,2017,Manual,30519,Petrol,30.0,54.3,1.0,11180
13380,ford, Edge,2019,Semi-Auto,1461,Diesel,145.0,37.2,2.0,32397
17548,ford, Puma,2020,Manual,1137,Petrol,145.0,50.4,1.0,23999
18785,hyundi, Santa Fe,2016,Automatic,23656,Diesel,235.0,42.8,2.2,17733
18125,hyundi, IX20,2017,Manual,12417,Petrol,125.0,50.4,1.4,8940
19468,toyota, Prius,2019,Automatic,7194,Hybrid,135.0,64.2,1.8,23490
19020,hyundi, I40,2019,Manual,12000,Diesel,145.0,54.3,1.6,15495
13461,hyundi, IX35,2014,Manual,43978,Diesel,145.0,53.3,1.7,8498
12215,vw, CC,2013,Manual,79303,Diesel,30.0,60.1,2.0,7970
17009,bmw, X4,2019,Automatic,9210,Diesel,145.0,42.8,2.0,39990
19153,hyundi, IX20,2017,Manual,26987,Petrol,125.0,50.4,1.4,8900
13530,skoda, Rapid,2015,Manual,37657,Diesel,0.0,67.3,1.6,7900
19542,merc, CLS Class,2014,Semi-Auto,42980,Diesel,145.0,54.3,2.1,16990
15046,hyundi, Santa Fe,2019,Semi-Auto,6209,Diesel,145.0,39.2,2.2,33495
14117,hyundi, Santa Fe,2019,Semi-Auto,2390,Diesel,145.0,39.2,2.2,32980
12949,bmw, 7 Series,2017,Semi-Auto,34017,Diesel,125.0,57.6,3.0,26998
17644,merc, V Class,2019,Semi-Auto,1000,Diesel,145.0,44.8,2.2,49589
18625,vw, Arteon,2019,Automatic,1201,Petrol,145.0,47.1,2.0,26999
17959,ford, Edge,2019,Semi-Auto,7055,Diesel,145.0,37.2,2.0,30970
15472,ford, Edge,2017,Automatic,26818,Diesel,145.0,47.9,2.0,24000
16315,toyota, Verso,2016,Manual,37305,Diesel,30.0,62.8,1.6,11295
17512,bmw, X6,2011,Automatic,96000,Diesel,300.0,37.7,3.0,13440
12816,vw, Beetle,2016,Manual,65318,Diesel,20.0,65.7,2.0,8690
17095,vw, Arteon,2018,Semi-Auto,25724,Diesel,150.0,52.3,2.0,19412
13092,merc, GLS Class,2017,Automatic,11575,Diesel,150.0,37.2,3.0,38000
12157,vw, Scirocco,2014,Manual,46806,Diesel,30.0,62.8,2.0,10000
15870,hyundi, I40,2016,Semi-Auto,25881,Diesel,125.0,56.5,1.7,11151
18216,skoda, Scala,2019,Semi-Auto,20,Petrol,145.0,47.1,1.0,20495
18545,ford, KA,2015,Manual,23593,Petrol,30.0,57.7,1.2,5560
13895,hyundi, Santa Fe,2017,Semi-Auto,21615,Diesel,235.0,42.8,2.2,17998
16872,audi, SQ5,2015,Automatic,37306,Diesel,265.0,41.5,3.0,23195
12845,hyundi, Santa Fe,2017,Semi-Auto,41429,Diesel,145.0,42.8,2.2,18894
13217,hyundi, I40,2018,Manual,17755,Diesel,145.0,67.3,1.7,11985
19593,vauxhall, Combo Life,2019,Manual,2123,Diesel,145.0,50.4,1.5,15990
16308,merc, GL Class,2015,Semi-Auto,44902,Diesel,325.0,36.2,3.0,30698
13365,vw, Arteon,2019,Automatic,80,Petrol,145.0,40.4,1.5,25000
14078,ford, Galaxy,2018,Manual,11704,Diesel,145.0,55.4,2.0,21500
18579,vw, CC,2014,Manual,64650,Diesel,30.0,60.1,2.0,8798
13122,toyota, Avensis,2015,Manual,28434,Diesel,20.0,67.3,1.6,9998
17202,bmw, 6 Series,2008,Automatic,94000,Diesel,305.0,39.2,3.0,8499
18520,skoda, Scala,2019,Manual,7550,Petrol,145.0,49.6,1.0,13995
15550,ford, KA,2008,Manual,76000,Petrol,205.0,43.5,1.3,795
14086,bmw, M4,2019,Semi-Auto,5644,Petrol,145.0,34.0,3.0,44500
14695,vw, Caravelle,2013,Automatic,85515,Diesel,300.0,37.2,2.0,19990
14835,vauxhall, Zafira Tourer,2014,Manual,46925,Petrol,200.0,42.8,1.4,7800
13001,audi, S3,2015,Manual,32000,Petrol,200.0,39.8,2.0,18790
17838,hyundi, IX20,2018,Manual,18390,Petrol,145.0,50.4,1.4,10109
18519,vauxhall, Combo Life,2019,Manual,10450,Diesel,145.0,53.3,1.5,13998
17020,ford, Fusion,2010,Automatic,26588,Petrol,260.0,37.7,1.6,4750
17261,vw, CC,2016,Manual,36700,Diesel,30.0,62.8,2.0,10850
18353,skoda, Kamiq,2019,Manual,1500,Petrol,145.0,47.9,1.0,17495
14521,vw, Scirocco,2015,Manual,50183,Diesel,20.0,55.4,2.0,11998
14898,audi, R8,2019,Semi-Auto,7800,Petrol,145.0,21.4,5.2,119995
16239,hyundi, I40,2016,Semi-Auto,31339,Diesel,125.0,56.5,1.7,12495
15170,ford, KA,2014,Manual,22455,Petrol,30.0,57.7,1.2,4698
17227,ford, Grand C-MAX,2015,Manual,29950,Diesel,30.0,64.2,1.5,9499
15182,skoda, Scala,2019,Manual,2518,Petrol,150.0,49.6,1.0,14795
18836,audi, R8,2016,Semi-Auto,10172,Petrol,570.0,24.8,5.2,79900
13616,hyundi, Santa Fe,2017,Manual,26306,Diesel,205.0,47.1,2.2,19500
12445,merc, CLS Class,2012,Automatic,66880,Diesel,200.0,46.3,3.0,12490
18218,merc, V Class,2018,Manual,22011,Diesel,145.0,46.3,2.1,20498
18542,vauxhall, Vivaro,2017,Manual,25885,Diesel,145.0,50.4,1.6,14900
