EmployeeNumber,Age,BusinessTravel,MonthlyIncome,Department,DistanceFromHome,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,MaritalStatus,NumCompaniesWorked,Attrition
350,25,Travel_Rarely,4898,Research & Development,1,Life Sciences,1,,Female,Manufacturing Director,Married,0,0
1673,31,Travel_Rarely,5476,Sales,5,Life Sciences,1,1.0,Female,Sales Executive,Married,1,0
1985,40,Travel_Frequently,6323,Research & Development,11,Technical Degree,1,4.0,Female,Laboratory Technician,Married,1,0
800,27,Travel_Frequently,4342,Sales,8,Marketing,1,3.0,Male,Sales Executive,Married,0,0
1344,34,Travel_Rarely,8500,Research & Development,9,Life Sciences,1,4.0,Male,Healthcare Representative,Divorced,0,0
1751,27,Travel_Rarely,3445,Research & Development,8,Medical,1,3.0,Female,Research Scientist,Single,1,0
327,43,Travel_Rarely,16064,Sales,16,Marketing,1,4.0,Female,Manager,Married,5,0
1553,45,Travel_Rarely,7441,Research & Development,1,Technical Degree,1,1.0,Male,Healthcare Representative,Divorced,1,0
2068,34,Travel_Rarely,4404,Research & Development,8,Medical,1,2.0,Male,Laboratory Technician,Married,2,0
517,42,Travel_Rarely,2576,Research & Development,1,Life Sciences,1,2.0,Female,Laboratory Technician,Divorced,3,0
1789,46,Travel_Rarely,19328,Research & Development,2,Medical,1,3.0,Male,Research Director,Divorced,7,0
1267,44,Travel_Rarely,18213,Sales,5,Marketing,1,2.0,Male,Manager,Married,7,0
923,21,Travel_Rarely,2693,Research & Development,18,Other,1,4.0,Female,Research Scientist,Single,1,1
465,23,Travel_Rarely,2904,Research & Development,26,Life Sciences,1,3.0,Male,Research Scientist,Divorced,1,0
1937,38,Travel_Frequently,2133,Research & Development,8,Medical,1,4.0,Female,Research Scientist,Divorced,1,0
1026,39,Travel_Rarely,12742,Research & Development,1,Life Sciences,1,4.0,Female,Manufacturing Director,Married,1,0
1551,24,Travel_Rarely,2296,Research & Development,21,Technical Degree,1,3.0,Male,Laboratory Technician,Divorced,0,0
323,50,Travel_Rarely,19517,Sales,1,Medical,1,4.0,Female,Manager,Divorced,3,0
316,52,Travel_Rarely,3212,Research & Development,2,Life Sciences,1,3.0,Female,Laboratory Technician,Single,7,0
1576,48,Travel_Rarely,2367,Research & Development,15,Other,1,3.0,Female,Research Scientist,Married,8,0
1273,25,Travel_Frequently,1118,Sales,24,Life Sciences,1,3.0,Male,Sales Representative,Single,1,1
1200,44,Travel_Rarely,2936,Research & Development,10,Life Sciences,1,3.0,Male,Research Scientist,Single,1,1
75,35,Travel_Rarely,4014,Research & Development,23,Medical,1,3.0,Female,Laboratory Technician,Married,3,0
851,51,Travel_Rarely,16307,Sales,26,Marketing,1,1.0,Female,Manager,Married,2,0
1281,34,Travel_Rarely,4538,Sales,2,Marketing,1,3.0,Female,Sales Executive,Single,0,0
1602,46,Travel_Rarely,17567,Sales,1,Life Sciences,1,4.0,Male,Manager,Single,1,0
650,31,Travel_Rarely,4233,Sales,13,Medical,1,2.0,Male,Sales Executive,Divorced,2,1
20,29,Travel_Rarely,9980,Research & Development,21,Life Sciences,1,2.0,Female,Manufacturing Director,Divorced,1,0
488,41,Travel_Frequently,9355,Sales,4,Marketing,1,1.0,Male,Sales Executive,Single,1,1
79,38,Travel_Frequently,2406,Research & Development,29,Life Sciences,1,4.0,Female,Laboratory Technician,Single,1,0
