index,Name,Platform,Year_of_Release,Genre,Publisher,JP_Sales,Critic_Score,Critic_Count,Global_Sales
12675,Mayhem 3D,PS3,2011.0,Racing,Evolved Games,0.0,53.0,5.0,0.06
7025,Wipeout 2,3DS,2011.0,Misc,Activision,0.0,,,0.23
11557,Bleach: Erabareshi Tamashii,PS2,2005.0,Adventure,Sony Computer Entertainment,0.08,,,0.08
11746,Rayman Origins,PC,2012.0,Platform,Ubisoft,0.0,86.0,11.0,0.08
16042,Oyaku de Asoberu DS Ehon: Ukkari Penelope,DS,2008.0,Simulation,Tecmo Koei,0.02,,,0.02
2450,Army of Two: The 40th Day,PS3,2010.0,Shooter,Electronic Arts,0.01,74.0,56.0,0.85
1856,The Final Fantasy Legend,GB,1989.0,Role-Playing,SquareSoft,1.1,,,1.1
9322,Medalot 7,3DS,2012.0,Action,Rocket Company,0.13,,,0.13
11619,Monster Trucks DS,DS,2005.0,Racing,Majesco Entertainment,0.0,33.0,7.0,0.08
12711,Aquarium by DS,DS,2008.0,Simulation,Mercury Games,0.0,,,0.06
8518,Aliens: Infestation,DS,2011.0,Action,Sega,0.0,76.0,43.0,0.16
11166,Knights in the Nightmare,PSP,2010.0,Role-Playing,Atlus,0.02,75.0,10.0,0.09
2658,Puzzler World,DS,2009.0,Puzzle,Ubisoft,0.0,,,0.77
6204,Thief (2014),X360,2014.0,Action,Square Enix,0.0,,,0.28
9473,Grand Knights History,PSP,2011.0,Role-Playing,Marvelous Interactive,0.13,,,0.13
13707,Unison: Rebels of Rhythm & Dance,PS2,2000.0,Misc,Tecmo Koei,0.0,,,0.04
15305,Kannou Mukashi Banashi Portable,PSP,2012.0,Adventure,Idea Factory,0.02,,,0.02
16152,Samurai Shodown Anthology (JP sales),PS2,2008.0,Fighting,Ignition Entertainment,0.01,,,0.01
15891,Lost: Via Domus,PC,2008.0,Action,Ubisoft,0.0,52.0,22.0,0.02
14849,Brothers Conflict: Passion Pink,PSP,2012.0,Action,Idea Factory,0.03,,,0.03
13381,Billy the Wizard: Rocket Broomstick Racing,Wii,2007.0,Racing,Metro 3D,0.0,,,0.05
8403,G-Force,X360,2009.0,Action,Disney Interactive Studios,0.0,68.0,33.0,0.17
4554,Juiced: Eliminator,PSP,2006.0,Racing,THQ,0.0,65.0,24.0,0.42
8968,Bakugan Battle Brawlers: Defenders of the Core,X360,2010.0,Action,Activision,0.0,62.0,10.0,0.15
13250,Super Bust-A-Move,GBA,2001.0,Puzzle,Ubisoft,0.0,77.0,9.0,0.05
11220,Red Faction: Armageddon,PC,2011.0,Shooter,THQ,0.0,75.0,29.0,0.09
14661,Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,DS,2007.0,Action,Namco Bandai Games,0.03,,,0.03
9260,Shining Resonance,PS3,2014.0,Role-Playing,Sega,0.14,,,0.14
7946,Pro Evolution Soccer 2014,3DS,2013.0,Action,Konami Digital Entertainment,0.19,,,0.19
12337,Escape from Bug Island,Wii,2006.0,Action,Eidos Interactive,0.01,37.0,13.0,0.06
14862,Under the Skin,PS2,2004.0,Action,Capcom,0.0,55.0,30.0,0.03
10672,Kiku! Kaku! Kotoba o Fuyasu! Hajimete no Eigo Training,DS,2007.0,Misc,Benesse,0.1,,,0.1
7639,Wizards of Waverly Place: Spellbound,DS,2010.0,Misc,Disney Interactive Studios,0.0,,,0.2
